标题,类型,上映时间,简介,作者,主演
['霸王别姬 - Farewell My Concubine'],"['剧情', '爱情']",['171 分钟'],影片借一出《霸王别姬》的京戏，牵扯出三个人之间一段随时代风云变幻的爱恨情仇。段小楼（张丰毅 饰）与程蝶衣（张国荣 饰）是一对打小一起长大的师兄弟，两人一个演生，一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》，更是誉满京城，为此，两人约定合演一辈子《霸王别姬》。但两人对戏剧与人生关系的理解有本质不同，段小楼深知戏非人生，程蝶衣则是人戏不分。段小楼在认为该成家立业之时迎娶了名妓菊仙（巩俐 饰），致使程蝶衣认定菊仙是可耻的第三者，使段小楼做了叛徒，自此，三人围绕一出《霸王别姬》生出的爱恨情仇战开始随着时代风云的变迁不断升级，终酿成悲剧。,['陈凯歌'],"['张国荣', '张丰毅', '巩俐', '吕齐', '英达', '葛优', '雷汉', '童弟', '尹治', '马明威', '赵海龙', '费振翔', '李丹', '杨永超', '黄斐', '蒋雯丽', '智一桐', '李春', '吴大维', '黄磊', '宋小川', '张进战', '关之琳', '毛舜筠', '吴君如', '黄百鸣', '吴孟达', '卢敏仪', '杨立新', '方征']"
['这个杀手不太冷 - Léon'],"['剧情', '动作', '犯罪']",['110 分钟'],里昂（让·雷诺 饰）是名孤独的职业杀手，受人雇佣。一天，邻居家小姑娘马蒂尔德（纳塔丽·波特曼 饰）敲开他的房门，要求在他那里暂避杀身之祸。原来邻居家的主人是警方缉毒组的眼线，只因贪污了一小包毒品而遭恶警（加里·奥德曼 饰）杀害全家的惩罚。马蒂尔德 得到里昂的留救，幸免于难，并留在里昂那里。里昂教小女孩使枪，她教里昂法文，两人关系日趋亲密，相处融洽。 女孩想着去报仇，反倒被抓，里昂及时赶到，将女孩救回。混杂着哀怨情仇的正邪之战渐次升级，更大的冲突在所难免……,['吕克·贝松'],"['让·雷诺', '加里·奥德曼', '娜塔莉·波特曼', '丹尼·爱罗', '彼得·阿佩尔', 'Willi One Blood', '唐·克里奇', 'Keith A. Glascoe', '伦道夫·斯科特', '迈克尔·巴达鲁科', '艾伦·格里尼', '伊丽莎白·瑞根', '卡尔·马图斯维奇', '弗兰克·赛格', '卢修斯·怀亚特·切罗基', '埃里克·查利', '吕克·伯纳德', '麦温·勒·贝斯柯', 'Jessie Keosian', '乔治·马丁', '阿卜杜勒·哈桑·谢里夫', '斯图亚特·鲁丁', '肯特·布劳德赫斯特', 'Tommy Hollis', '彼得·吉安卢卡利纳瑞', '强尼·里默', '丹尼·贝利', '赛斯杰罗姆·沃克', '迈克尔·蒙德拉', 'Alex Dezen', 'Betty Miller', '杰弗里·贝特曼', 'Arsène Jiroyan', 'Peter Vizard', '约瑟夫·玛勒巴', '大卫·w·巴特勒', '罗伯特·拉萨多', 'Steve Gonnelo', 'William James Stiggers Jr.', 'Anthony Ragland', '水晶·米歇尔·布莱克', '桑尼·齐托', '洛基·埃尔南德斯', 'Randy Pearlstein', 'Trevor Walace', '基思·布洛克', '弗雷德·菲舍尔', 'Peter Justinius', 'Denis Bellocq', 'Thomas Delehanty', 'Ed Ventresca', 'Wallace Wong', 'Cary Wong', 'Amimul Rolly', 'Mohammed Rashid', '亚当·布斯奇', '马里奥·托迪斯科', 'James Melissinos', '杰纳德·伯克斯', 'Matt De Matt', '萨米·纳塞利', '克里斯托夫·戈蒂埃', 'Junior Almeida', '大卫·格雷格', 'Michel Montanary', '埃尔韦·胡森', 'Didier Legros', '马克·安德烈奥尼', '吉尔·克莱伯', 'Junior John Levis', 'Tony Sauraye', 'Thierry Maurio', '让·雨果·安格拉德', 'James Fahrner', 'Michael Wehrhahn', 'Daniel Schenmetzler', 'Alyssia Dujmovich', '麦温', '埃莱娜·卡多纳', 'Jeff McBride']"
['肖申克的救赎 - The Shawshank Redemption'],"['剧情', '犯罪']",['142 分钟'],20世纪40年代末，小有成就的青年银行家安迪（蒂姆·罗宾斯 饰）因涉嫌杀害妻子及她的情人而锒铛入狱。在这座名为肖申克的监狱内，希望似乎虚无缥缈，终身监禁的惩罚无疑注定了安迪接下来灰暗绝望的人生。未过多久，安迪尝试接近囚犯中颇有声望的瑞德（摩根·弗里曼 饰），请求对方帮自己搞来小锤子。以此为契机，二人逐渐熟稔，安迪也仿佛在鱼龙混杂、罪恶横生、黑白混淆的牢狱中找到属于自己的求生之道。他利用自身的专业知识，帮助监狱管理层逃税、洗黑钱，同时凭借与瑞德的交往在犯人中间也渐渐受到礼遇。表面看来，他已如瑞德那样对那堵高墙从憎恨转变为处之泰然，但是对自由的渴望仍促使他朝着心中的希望和目标前进。而关于其罪行的真相，似乎更使这一切朝前推进了一步……,['弗兰克·德拉邦特'],"['蒂姆·罗宾斯', '摩根·弗里曼', '鲍勃·冈顿', '威廉·桑德勒', '克兰西·布朗', '吉尔·贝罗斯', '马克·罗斯顿', '詹姆斯·惠特摩', '杰弗里·德曼', '拉里·布兰登伯格', '尼尔·吉恩托利', '布赖恩·利比', '大卫·普罗瓦尔', '乔·劳格诺', '祖德·塞克利拉', '保罗·麦克兰尼', '芮妮·布莱恩', '斯科特·曼', '约翰·霍顿', '戈登·格林', '阿方索·弗里曼', 'V·J·福斯特', '约翰·萨默斯', '弗兰克·梅德拉诺', '马克·迈尔斯', '阿兰·凯斯勒', '摩根·伦德', '康奈尔·华莱士', '加里·李·戴维斯', '尼尔·萨默斯', '耐德·巴拉米', '乔·佩科拉罗', '小哈罗德·科普', '布赖恩·戴拉特', '唐·麦克马纳斯', '唐纳德·津恩', '多萝西·希尔沃', '罗伯特·海利', '达纳·斯奈德', 'John D. Craig', '肯·马吉', 'Eugene C. DePasquale', '比尔·鲍兰德', '罗恩·纽厄尔', '约翰·伍德沃德', '查克·布劳彻勒', '迪翁·安德森', '克莱尔·史莱姆', 'James Kisicki', '詹姆斯·巴伯森', '罗恩·托马斯', '查理·卡恩斯', 'Rob Reider', '布莱恩·布罗菲', 'Paul Kennedy', 'Brad Spencer', '丹尼斯·贝克', '弗雷德·克柏森', '丽塔·海华斯', '理查德·杜恩', 'Michael Lightsey', '加里·琼斯', '阿隆佐·F·琼斯', '克里斯·佩吉', '塞尔吉奥·加藤', '约瑟夫·劳格诺']"
['泰坦尼克号 - Titanic'],"['剧情', '爱情', '灾难']",['194 分钟'],1912年4月15日，载着1316号乘客和891名船员的豪华巨轮“泰坦尼克号”与冰山相撞而沉没，这场海难被认为是20世纪人间十大灾难之一。1985年，“泰坦尼克号”的沉船遗骸在北大西洋两英里半的海底被发现。美国探险家洛维特（比尔·帕克斯顿 饰）亲自潜入海底，在船舱的墙壁上看见了一幅画，洛维持的发现立刻引起了一位老妇人（格劳瑞亚·斯图尔特 饰）的注意。已经是101岁高龄的露丝称她就是画中的少女。在潜水舱里，露丝开始叙述当年在船上发生的故事。年轻的贵族少女露丝（凯特·温丝莱特 饰）与穷画家杰克（莱昂纳多·迪卡普里奥 饰）不顾世俗的偏见坠入爱河，然而就在1912年4月14日，一个风平浪静的夜晚，泰坦尼克号撞上了冰山，“永不沉没的”泰坦尼克号面临沉船的命运，罗丝和杰克刚萌芽的爱情也将经历生死的考验，最终不得不永世相隔。老态龙钟的罗丝讲完这段哀恸天地的爱情之后，把那串价值连城的项链“海洋之心”沉入海底，让它陪着杰克和这段爱情长眠海底。,['詹姆斯·卡梅隆'],"['莱昂纳多·迪卡普里奥', '凯特·温丝莱特', '比利·赞恩', '格劳瑞亚·斯图尔特', '凯西·贝茨', '弗兰西丝·费舍', '比尔·帕克斯顿', '伯纳德·希尔', '大卫·沃纳', '维克多·加博', '乔纳森·海德', '阿那托利·萨加洛维奇', '苏茜·爱米斯', '伊万·斯图尔特', '詹姆斯·卡梅隆', '刘易斯·阿伯内西', '尼古拉斯·卡斯柯恩', '丹尼·努齐', '杰森·贝瑞', '艾恩·格拉法德', '乔纳森·菲利普斯', '马克·林赛·查普曼', '理查德·格拉翰', '保罗·布赖特威尔', '艾瑞克·布里登', '夏洛特·查顿', '博纳德·福克斯', '迈克尔·英塞恩', '法妮·布雷特', '马丁·贾维斯', '罗莎琳·艾尔斯', '罗切尔·罗斯', '乔纳森·伊万斯-琼斯', '西蒙·克雷恩', '爱德华德·弗莱彻', '马丁·伊斯特', '克雷格·凯利', '詹姆斯·兰开斯特', '艾尔莎·瑞雯', '卢·帕尔特', '泰瑞·佛瑞斯塔', '凯文·德·拉·诺伊', '斯科特·安德森', '格雷戈里·库克', '利亚姆·图伊', '罗恩·多纳基', '史蒂文·奎里', '詹妮特·戈德斯坦恩', '林凡', 'Linda Kerns', '马丁·哈伯', '马丁·莱恩', '德里克·李', 'Paul Herbert', '亚历山大·欧文斯', 'Julene Renee', '凯茜·贝茨', 'Camilla Overbye Roos', 'Amy Gaipa', 'Rocky Taylor', 'Mark Rafael Truitt', 'Garth Wilton', 'Kevin Owers', 'Marc Cass', 'Emmett James', 'Oliver Page', 'Erik Holland', '塞斯·艾德金斯', 'Vern Urich', ""Tricia O'Neil"", 'Dan Pettersson', '格雷格·埃利斯', 'Kris Andersson', 'Aaron James Cash', 'Edmond Alan Forsyth', '斯科特·希斯洛普', '约翰·沃尔卡特', 'Sean Nepita', 'Nick Meaney', 'Mark Capri', '克里斯·伯恩', '詹姆斯·加勒特', 'Jari Kinnunen', '巴里·丹尼', 'Rebecca Klingler', 'Bjørn Olsen', '谢伊·达芬', 'Diana Morgan', '安妮·弗莱彻', 'Andie Hicks', 'Stan Mazin', 'Thomas Füri']"
['罗马假日 - Roman Holiday'],"['剧情', '喜剧', '爱情']",['118 分钟'],欧洲某国的安妮公主（奥黛丽·赫本 饰）到访罗马，国务烦身，但她又厌倦繁文缛节。一天晚上，身心俱疲的她偷偷来到民间欣赏夜景，巧遇报社记者乔（格利高里·派克 饰）。二人把手同游，相当快乐。公主更是到乔的家中作客并在那过夜。不料乔无意中发现了公主的真实身份，他决定炮制一个独家新闻，于是乔和朋友、摄影师欧文（埃迪·艾伯特 饰）一起带公主同游罗马，并且偷拍了公主的很多生活照。然而，在接下来与公主的相处中，乔不知不觉恋上了公主。为了保护公主的形象，乔只能忍痛抛弃功成名就的良机，将照片送予了公主。安妮公主在经历了罗马一日假期后，反而体验了自己对国家的责任，毅然返回了大使馆，为了本身的责任而果断抛弃了爱情。,['威廉·惠勒'],"['格利高里·派克', '奥黛丽·赫本', '埃迪·艾伯特', '哈特利·鲍尔', '哈考特·威廉姆斯', '玛格丽特·罗林斯', '托里奥·卡米纳提', 'Paolo Carlini', 'Claudio Ermelli', '保拉·布鲁布尼', '里佐·弗雷多里佐', 'Laura Solari', 'Gorella Gori', 'Armando Ambrogi', 'Armando Annuale', '毛里齐奥·阿雷纳', 'Silvio Bagolini', '乌戈·巴莱里尼', 'Bruno Baschiera', 'Gildo Bocci', '阿尔弗雷德·布朗', 'Princess Alma Cattaneo', 'J. Cortes Cavanillas', '弗兰科·科尔萨罗', 'John Cortay', 'Vittoria Crispo', 'Ferdinando De Aldisio', '乌戈·德·帕斯卡尔', 'Jan Dijksgraaf', '安德烈·艾斯特哈兹', 'Gherda Fehrer', '雅克·费里尔', 'Helen Fondra', 'Giovanni Fostini', 'Sytske Galema', '保罗·加里', 'Adam Jennette', 'G. Kabulska', '约翰·霍恩', '史蒂芬·豪斯', '特蕾莎·戈捷', '奥托·格罗斯', 'Sidney Gordon', '爱德华·希区柯克', 'Heinz Hindrich', '朱斯蒂诺·奥利维', 'Desiderio Nobile', '理查德·纽豪斯', 'Julio Moriones', '米莫·波利', '贾科莫·奔萨', 'Piero Pastore', '埃里克·奥顿', 'Giuliano Raffaelli', '弗里德里希·兰普', '黛安·兰特', '库尔特·克林格', 'Nicola Konopleff', 'Mario Lucinni', '路易斯·马里诺', 'Princess Lilamani', 'Luigi Locchi', 'Maurice Montabre', '理查德·麦克纳马拉', '拉宾德拉纳特·米特', '多米尼克·丽卡', 'Luigi Moneta', 'Carlo Rizzo', 'Piero Scanziani', 'Gianna Segale', 'Octave Senoret', 'Sir Hari Singh', 'Alcide Tico', '阿梅代奥·特里利', '海伦·塔布斯', 'Marco Tulli', 'Joop van Hulzen', '帕特里夏·瓦尔纳', 'Dianora Veiga', 'Cesare Viori', '塔尼亚·韦伯', 'Hank Werbe', 'Catherine Wyler', 'Judy Wyler', 'George Higgins II']"
['唐伯虎点秋香 - Flirting Scholar'],"['喜剧', '爱情', '古装']",['102 分钟'],唐伯虎（周星驰 饰）身为江南四大才子之首，却有道不尽的心酸。宁王想让唐伯虎帮其图谋作反，被唐伯虎拒绝意淫结仇。唐伯虎在与朋友出游时，遇到了貌若天仙的秋香（巩俐 饰）并对她一见钟情，决心要到华府当家丁以追求秋香，唐伯虎被取名华安。期间华太师遇到了宁王上门刁难，幸好有唐伯虎出面相助，并暴露了自己是唐伯虎的身份。秋香才知道华安是自己欣赏的唐伯虎。华夫人跟唐家有怨，因此二人便开始斗法。怎料宁王跟夺命书生再次上门，华夫人不是对手，幸得唐伯虎出手，华夫人也答应把秋香许配给唐伯虎。,['李力持'],"['周星驰', '巩俐', '郑佩佩', '苑琼丹', '陈百祥', '朱咪咪', '黄霑', '梁家仁', '刘家辉', '林威', '黄一山', '李家声', '贾天怡', '宣萱', '温翠苹', '吴镇宇', '陈辉虹', '谷德昭', '黎彼得', '蓝洁瑛', '陈家碧', '李绮霞', '王凤琼', '梁绮丽', '黄颖仪', '金磊', '梁荣忠', '李健仁', '刘锡贤', '朱铁和', '姜皓文', '何英伟', '王伟梁', '温翠苹']"
['乱世佳人 - Gone with the Wind'],"['剧情', '爱情', '历史', '战争']",['238 分钟'],美国南北战争前夕，南方农场塔拉庄园的千金斯嘉丽（费·雯丽 饰）爱上了另一个农场主的儿子艾希礼（李斯利·霍华德 饰），遭到了拒绝，为了报复，她嫁给了自己不爱的男人，艾希礼妻子梅兰（奥莉薇·黛·哈佛兰 饰）的弟弟查尔斯。战争期间，斯嘉丽成为寡妇，失去母亲，挑起生活的重担，不再是当初的千金小姐；战争结束后，她又两度为人妻，嫁给了爱她多年的投机商人瑞德（克拉克·盖博 饰）。然而，纵使经历了生活的艰苦，斯嘉丽对艾希礼的感情仍然没有改变。艾希礼妻子梅兰的去世，给了斯嘉丽一个机会，一边是深爱自己的丈夫瑞德，一边是心心念念多年的艾希礼？斯嘉丽会给自己怎样一个不一样的明天？,"['山姆·伍德', '维克多·弗莱明']","['费雯·丽', '克拉克·盖博', '奥利维娅·德哈维兰', '莱斯利·霍华德', '海蒂·麦克丹尼尔斯', '埃迪·安德森', '托马斯.米切尔', '芭芭拉·欧内尔', '伊夫林·凯耶斯', '乔治·里弗斯', '巴特弗莱·麦昆', '维克托·乔里', '埃弗雷特·布朗', '霍华德·C·希克曼', '兰德·布鲁克斯', '劳拉·霍普·克鲁斯', '哈里·达文波特', '利昂娜·罗伯特', '简·达威尔', '保罗·赫斯特', '卡米·金·肯伦', '欧娜·满森', 'J·M·克里根', 'Jackie Moran', '莉莲·肯布尔-库珀', '米基·库恩', '欧文·培根', '威廉·贝克韦尔', '伊莎贝尔·朱尔', '沃德·邦德', '克里夫·爱德华兹', '亚基马·坎纳特', '路易斯·让·埃特', '奥林·霍兰德', '罗伯特·埃利奥特', '玛丽·安德森', 'Eric Alden', 'John Arledge', '罗斯科·阿蒂斯', '特雷弗·巴德特', 'Ralph Brooks', 'Daisy Bufford', 'James Bush', 'Louise Carter', '艾德·钱德勒', 'Wallis Clark', 'Frank Coghlan Jr.', '基诺科拉多', 'Luke Cosgrave', 'Kernan Cripps', 'Phyllis Douglas', 'Edythe Elliott', '理查德·法恩斯沃斯', '弗兰克·费伦', 'C. Hamilton', 'Shep Houghton', 'Si Jenks', '乔治·米克', '阿尔贝托·莫林', 'Adrian Morris', 'Lee Murray', 'David Newell', '李·费尔普斯', 'Jolane Reynolds', 'Marjorie Reynolds', 'Suzanne Ridgeway', 'William Stack', 'William Stelling', 'Harry Strang', 'Emerson Treacy', 'F. Driver', 'Joan Drake', 'Ned Davenport', 'Martina Cortina', 'Kelly Griffin', 'Susan Falligant', 'Marcella Martin', '卡洛尔·奈', '艾丽西亚·瑞特', '奥斯卡·波尔克', 'Gary Carlson', 'Ruth Byers', 'Ann Bupp', '艾瑞克·林登', '安·卢瑟福德', '弗莱德·克莱恩', 'Evelyn Harding', '乔治·哈卡索恩', 'Emmett King', 'Lennie Bluett', 'Louisa Robert', 'Azarene Rogers', 'Tom Seidel', '迪克·韦恩·萨莫斯', 'Phillip Trent', 'Julia Ann Tuck', 'Sarah Whitley', 'Zack Williams', 'Inez Hatchett', 'Jean Heker', 'Ricky Holt', 'Tommy Kelly', 'W. Kirby', 'William McClain', 'H. Nellman', 'N. Pharr', '汤姆·泰勒', 'E·阿兰·沃伦', '布卢·华盛顿', 'Dan White', '欧内斯特·惠特曼', 'Guy Wilkerson', '约翰·雷', 'Horace B. Carpenter', 'Shirley Chambers', 'Billy Cook', ""Yola d'Avril"", 'Lester Dorr', 'Col. Timothy J. Lonergan', '玛格丽特·曼', 'Charles Middleton', '斯考特西顿', 'Dale Van Sickel']"
['喜剧之王 - The King of Comedy'],"['剧情', '喜剧', '爱情']",['85 分钟'],尹天仇（周星驰 饰）一直醉心戏剧，想成为一名演员，平时除了做跑龙套以外，还会在街坊福利会里开设演员训练班。此时舞小姐柳飘飘在妈妈桑的带领下来到这里要求学做戏，原来柳飘飘有一段非常不愉快的经历，在尹天仇对她指导的过程中，柳飘飘对尹天仇渐生情愫，同时她也成为了夜总会里当红的小姐。尹天仇受到了极多白眼之后，终于得到了大明星鹃姐（莫文蔚 饰）的赏识，提携他担演新戏中的男主角，但没想到突然把他的角色换掉了，令他失望不已。在片场当场务的卧底警员（吴孟达 饰）身份被识穿，尹天仇阴差阳错的帮忙破了案。之后尹天仇继续活跃在街坊福利会的演员训练班里。,"['李力持', '周星驰']","['周星驰', '莫文蔚', '张柏芝', '郑文辉', '林子善', '田启文', '吴孟达', '成龙', '郑祖', '李兆基', '李思捷', '叶竞生', 'Robert Sparks', '许愿', '戴龙', '徐志雄', '袁富华', '陆剑青', '陈宝骏', '冯勉恒', '詹小玲', '明德丰', '戚务振', '侯焕玲', '林仲岐', '蔡国平', 'Siu-ling Tsim', 'Mo-Chan Chik', '江富强', 'Terence Tsui']"
['楚门的世界 - The Truman Show'],"['剧情', '科幻']",['103 分钟'],30年前奥姆尼康电视制作公司收养了一名婴儿，他们刻意培养他使其成为全球最受欢迎的纪实性肥皂剧《楚门的世界》中的主人公，公司为此取得了巨大的成功。然而这一切却只有一人全然不知，他就是该剧的唯一主角——楚门。楚门从小到大一直生活在一座叫桃源岛的小城 （实际上是一座巨大的摄影棚），他是这座小城里的一家保险公司的经纪人，楚门看上去似乎过着与常人完全相同的生活，但他却不知道生活中的每一秒钟都有上千部摄像机在对着他，每时每刻全世界都在注视着他，更不知道身边包括妻子和朋友在内的所有人都是《楚门的世界》的演员。虽然感觉到每个人似乎都很注意他，而且从小到大所做的每一件事却都有着一些意想不到的戏剧性的效果， 但这些都没有使这位天性淳朴的小伙子太过于在意。可节目的制作组由于一时的疏忽，竟让在楚门小时候因他而“死”的“父亲”再次露面，“父亲”立即被工作人员带走，直到楚门悲痛万分开始怀疑后他们编织了一个完美的谎言让他们“父子”相见，从而达到他们满意的效果。多年前一位既是《楚门的世界》的忠实观众又是该节目群众演员的年轻姑娘施维亚十分同情楚门，楚门对她一见钟情。她给了楚门一些善意的暗示，自己却被强行带离片场。回忆起施维亚的楚门开始重新认识自己的生活。渐渐地楚门发现他工作的公司每一个人都在他出现后才开始真正的工作，他家附近的路上每天都有相同的人和车在反复来往，更让他不敢相信的是，自称是医生并每天都去医院工作的妻子竟不是医生。楚门开始怀疑他所生活的这个世界，包括他妻子、朋友、父亲等所有的人都在骗他，一种发自内心的恐惧油然而生。痛定思痛，他决定不惜一切代价逃出海景这个令他噤若寒蝉的小城，去寻找属于自己真正的生活和真正爱他的人。然而，楚门却低估了集这个肥皂剧的制作人、导演和监制大权于一身的克里斯托弗的力量。克里斯托弗将一切都设计得近乎完美，近30年里牢牢地把楚门控制在海景的超现实世界之中。几次逃脱都失败后，楚门决定从海上离开这座小城，然而他却绝望地发现他面前的大海和天空竟然也是这个巨大摄影棚的一部分，这时克里斯托弗在天上巨大的控制室里向楚门讲述了事情的来龙去脉，并告诉楚门他如今已经是世界上最受欢迎的明星，他今天所取得的一切是常人无法想象的，如果他愿留在海景就可继续明星生活，楚门不为所动，毅然走向远方的自由之路  。,['彼得·威尔'],"['金·凯瑞', '劳拉·琳妮', '诺亚·艾默里奇', '安东尼·科隆', '艾德·哈里斯', '保罗·吉亚玛提', '菲利普·贝克·霍尔', '布赖恩·戴拉特', 'Mario Ernesto Sánchez', '马西娅·德波尼斯', 'Sam Kitchin', 'Adam Tomei', '澳澜·琼斯', '特里·金瑞利', 'Donna Hardy', '乔尔·麦金农·米勒', 'Susan Angelo', '冈本玉二', '马克·麦考利', 'Kevin D. Ross', 'Mickalean McCormick', '梅丽莎·菲茨杰拉德', 'Jake Eberle', 'Kiyoko Yamaguchi', 'Carly Smiga', 'Tom Simmons', '珍妮特·米勒', 'Lorin Moore', 'Courtney Pakiz', 'Joseph Lucus', 'Logan Kirksey', 'Matthew McDonough', 'Larry McDowell', 'Robert Davis', 'R.J. Murdock', 'Darryl Davis', 'Zoaunne LeRoy', 'Millie Slavin', 'Joe Minjares', 'Al Foster', 'John Pramik', 'Krista Lynn Landolfi', '伍娜·戴蒙', '约翰·普莱舍', 'Earl Hilliard Jr.', '贾德森·沃恩', 'Jim Towers', 'David Andrew Nash', 'Nastassja Schmiedt', 'Angel Schmiedt', 'Mal Jones', 'Muriel Moore', 'Mark Alan Gillott', 'Dave Corey', 'Tony Todd', 'Jay Saiter', '约翰·罗斯留斯', 'Savannah Swafford', 'Sebastian Youngblood', 'Kade Coates', '彼得·克劳斯', '哈里·谢尔', '菲利普·格拉斯', '中村佐惠美', '娜塔莎·麦克艾霍恩', 'Don Taylor', 'Ted Raymond', 'Judy Clayton', 'Fritz Dominique', '霍兰德·泰勒', 'Blair Slater', '海蒂·谢兹', 'Ron Taylor', 'Marco Rubeo', 'Dona Hardy']"
['狮子王 - The Lion King'],"['动画', '歌舞', '冒险']",['89 分钟'],辛巴是荣耀国的小王子，他的父亲木法沙是一个威严的国王。然而叔叔刀疤却对木法沙的王位觊觎已久。要想坐上王位宝座，刀疤必须除去小王子，于是，刀疤利用种种借口让辛巴外出，然后伺机让鬣狗军团大开杀戒，无奈被木法沙及时来救。后来，在反复的算计下，木法沙惨死在刀疤手下；事后，刀疤别有用心的劝辛巴离开，一方面派鬣狗将他赶尽杀绝，但辛巴却逃出生天。辛巴逃亡中遇到了机智的丁满和善良的彭彭，他们见证了辛巴长成雄壮的大狮子。不久，辛巴意外遇上了少年时的玩伴娜娜，娜娜告知辛巴荣耀国遭遇灾难并鼓励他回去复国，但辛巴却不愿意。后来在法师拉飞奇的引导下，辛巴和父亲的英灵会面并下决心复国。在接下来一场复国救民的斗争中，辛巴领会了责任的真谛，并在朋友和亲人的帮助下获得胜利  。,"['罗杰·阿勒斯', '罗伯·明可夫']","['马修·布罗德里克', '尼基塔·卡兰姆', '詹姆斯·厄尔·琼斯', '杰瑞米·艾恩斯', '吉姆·卡明斯', '内森·连恩', '厄尼·萨贝拉', '罗伯特·吉尔劳姆', '罗温·艾金森', '莫伊拉·凯利', '乌比·戈德堡', '佐伊·里德尔', '切奇·马林', '玛奇·辛克莱', '乔纳森·泰勒·托马斯', '弗兰克·维尔克', '凯茜·卡瓦蒂妮', 'Judi M. Durand', 'Daamen J. Krall', 'David McCharen', 'Mary Linda Phillips', '菲尔·普洛克特', 'David Randolph', '埃文·绍塞多', 'Brian Tochi', '贾森·韦弗', 'Laura Williams']"
['V字仇杀队 - V for Vendetta'],"['剧情', '动作', '科幻', '惊悚']",['132 分钟'],在未来英国的极权统治下，一位名叫伊维（娜塔莉·波特曼 饰）的年轻女子死里逃生，被一名叫V（雨果·维文 饰）的带面具怪人救出，V具有不可思议的战斗能力，其诡计变化多端，手段极其残忍。当他摧毁了伦敦两个标志性建筑并控制了被政府摆布的电视广播以后，一场革命爆发了。市民被煽动，并企图以起义来对抗政府的专治与镇压。不料，伊维意外的得知了V的神秘背景，同时也发现了关于自己的一个巨大真相，给人们带来的正义与自由却把整个社会推向残酷与堕落的深渊。,"['詹姆斯·麦克特格', '詹姆斯·麦克提格']","['娜塔莉·波特曼', '雨果·维文', '斯蒂芬·瑞', '斯蒂芬·弗雷', '约翰·赫特', '蒂姆·皮戈特-史密斯', '拉珀特·格雷夫斯', '罗杰·阿拉姆', '本·迈尔斯', '西妮德·库萨克', '娜塔莎·怀特曼', '约翰·斯坦丁', '埃迪·马森', '克里夫·阿什伯恩', 'Emma Field-Rayner', '伊安·布尔费尔德', 'Mark Phoenix', 'Alister Mazzotti', '比莉·库克', '盖伊·亨利', '科斯马·肖', '梅根·盖伊', 'Roderic Culver', 'Tara Hacking', '安迪·莱什利兹', '查德·斯塔赫斯基', '安特耶·劳', 'Amelda Brown', '理查德·坎贝尔', '帕特里莎·加农', '马克·朗赫斯特', '西蒙·霍尔姆斯', '查尔斯·科克', '约翰·瑞汉姆', '奥利弗·布拉德肖', 'Jack Schouten', 'Caoimhe Murdock', '朱丽叶·霍兰德', '布林·罗瑟', '拉菲·帕特里克·伯切尔', '约瑟夫·雷耶', 'Adrian Finighan', '马尔科姆·辛克莱', '拉德利·史蒂夫·福特', '马德琳·拉基克-普拉特', '塞丽娜·贾尔斯', '卡斯腾·海斯', '德里克·哈金森', '马丁·萨维奇', '格兰特·布尔金', '格里高利·唐纳森', '伊莫琴·普茨', '杰森·格里菲斯', 'Kyra Meyer', '劳拉·格林伍德', '保罗·安东尼-巴博', 'Anna Farnworth', '玛丽·萧克莱', 'Simon Newby', 'David Merheb', '丹尼尔·唐纳森', 'Dulcie Smart', '本·波泽纳', '伊恩·T·迪金森', 'Sophia New', '朱莉·布朗', 'Gerard Gilroy', 'Eamon Geoghegan', '马修·贝茨', '大卫·雷奇', '马特·威尔金森', '马丁·麦克格雷德', '理查德·莱恩', 'Michael Simkins', '威廉·塔普利', 'Edsel Kragg', '托尼·库克', 'Gordon Gram', '乔纳斯·冯·林根', '若昂·科斯塔·梅内塞斯', 'Jason Oettle', '克里斯托弗·威尔森', '安迪·卡拉汉', '基斯·豪', 'David Decio', 'Nicolas de Pruyssenaere', '彼得·莱德', '沃尔夫冈·施特格曼', 'Norman Campbell Rees', '马迪斯·兰德维尔', '克里斯托弗·福什', 'David Hood', '罗根·格兰特', 'Forbes KB', '布拉德利·斯蒂夫·福特', 'Greg Donaldson']"
